G06Q10/00	管理；経営
G06Q20/341	｛アクティブ型カード，すなわち，カード自体が処理手段を含むもの，例．ＩＣ又チップを含むもの｝
G06Q20/3415	｛支払媒体として自律的に作動するカード｝
G06Q20/342	｛支払われるまたは請求されるサービスまたは量を定義するカード｝
G06Q20/343	｛カウンターを含むカード｝
G06Q20/3433	｛カウンターが金銭的な単位を有するもの｝
G06Q20/3437	｛｛カウンターが非金銭的な単位を有するもの，<BR>例．乗車回数｝
G06Q20/346	｛サービスの情報担体としてのみ機能するカード｝
G06Q20/347	｛パッシブ型カード｝
G06Q20/348	｛使い捨てカード，すなわち，再チャージ不可能なもの｝
G06Q20/349	｛再チャージ可能なカード｝
G06Q20/351	｛バーチャルカード｝
G06Q20/352	｛カードによる非接触での支払い｝
G06Q20/353	｛携帯端末に差し込まれた付加的なカードによる支払い｝
G06Q20/354	｛カードの有効化または無効化｝
G06Q20/355	｛使用するカードのパーソナライズ｝
G06Q20/3552	｛個人データのダウンロードまたはロード｝
G06Q20/3555	｛二つ以上のカードのパーソナライズ｝
G06Q20/3558	｛ユーザへの譲渡に先行したパーソナライズ｝
G06Q20/356	｛カード払いのためのソフトウェアの観点｝
G06Q20/3563	｛ソフトウェアがカードに常駐するもの｝
G06Q20/3567	｛ソフトウェアがカードリーダに常駐するもの｝
G06Q20/357	｛複数の固有の機能を持っているカード｝
G06Q20/3572	｛カードに複数の口座を持つもの｝
G06Q20/3574	｛カードに複数の用途を持つもの｝
G06Q20/3576	｛カードに複数の記憶領域を持つもの｝
G06Q20/35765	｛記憶領域にアクセス権があるもの｝
G06Q20/36	電子財布または電子マネー金庫を用いるもの
G06Q20/363	｛ユーザの個人データファイルを持つもの｝｝
G06Q20/367	｛インテリジェントトークンを含むもの，例．電子財布｝
G06Q20/3672	｛インテリジェントトークンの初期化またはリロード｝
G06Q20/3674	｛認証を含むもの｝
G06Q20/3676	｛口座の平衡化｝
G06Q20/3678	｛電子マネーの詳細，例．ブラインド化されたもの，分割可能なものまたは二重利用の検知｝
G06Q20/38	支払プロトコル；その詳細
G06Q20/381	｛貨幣の換算｝
G06Q20/382	｛取引のより高いセキュリティを保証するもの｝
G06Q20/3821	｛電子証明書｝
G06Q20/38215	｛取引権限の証明書または暗号化された証拠の使用｝
G06Q20/3823	｛取引のために多数の暗号化されたツールを組み合わせるもの｝
G06Q20/3825	｛電子署名の使用｝
G06Q20/3827	｛メッセージハッシュの使用｝
G06Q20/3829	｛キー管理を含むもの｝
G06Q20/383	｛匿名ユーザーシステム｝
G06Q20/384	
G06Q20/385	｛別名または使い捨てコードの使用｝
G06Q20/386	
G06Q20/387	｛ディスカウントまたはクーポンを用いた支払い（マーケティングに関連するものＧ０６Ｑ３０／０２）｝
G06Q20/388	｛カードを用いない相互認証｝
G06Q20/389	｛取引の否認防止を保証するための取引ログの保持｝
G06Q20/40	認証，例．支払人または受取人の識別，顧客または店の信用証明書の立証；支払人の調査および承認，例．信用限度またはネガティブ・リストのチェック
G06Q20/401	｛取引の立証｝
G06Q20/4012	｛個人識別番号［ＰＩＮ］の検証｝
G06Q20/4014	｛取引のための同一性チェック｝
G06Q20/40145	｛バイオメトリック同一性チェック｝
G06Q20/4015	
G06Q20/40155	
G06Q20/4016	｛取引工程において詐欺またはリスクレベルの評価を含むもの｝
G06Q20/4018	｛カードに関連したカード認証値［ＣＶＶ］を用いるもの｝
G06Q20/403	｛支払能力のチェック｝
G06Q20/4033	｛その場での支払い能力のチェック｝
G06Q20/4037	｛遠隔での支払い能力のチェック｝
G06Q20/405	｛特定の取引ルールの確立または使用｝
G06Q20/407	｛取引のキャンセル｝
G06Q20/409	｛取引工程での特定のカード認証｝
G06Q20/4093	｛カード認証の監視｝
G06Q20/4097	｛カードと取引パートナー間の相互認証｝
G06Q20/40975	｛相互認証のための暗号の使用｝
G06Q20/42	確認，例．支払の法的な債務者によるチェックまたは許可
G06Q20/425	｛取引目的およびセキュリティ確認目的で，二つの異なるネットワークを使用するもの｝
G06Q30/00	商取引，例．買物または電子商取引
G06Q30/01	｛顧客との関係，例．保証書｝
G06Q30/012	｛製品またはサービス保証書｝
G06Q30/014	｛製品リコール｝
G06Q30/015	
G06Q30/016	｛カスターサービス，すなわち，購買後のサービス｝
G06Q30/018	｛ビジネスまたは製品の認証または検証｝
G06Q30/0185	｛製品，サービスまたはビジネス詐欺｝
G06Q30/02	マーケティング，例．市場調査と分析，調査，促進，広告，バイヤー・プロファイリング，顧客管理，謝礼；価格の見積りあるいは決定
G06Q30/0201	｛マーケットデータ収集，マーケット分析またはマーケットのモデル化｝
G06Q30/02011	
G06Q30/020112	
G06Q30/02012	
G06Q30/020121	
G06Q30/020122	
G06Q30/02013	
G06Q30/02014	
G06Q30/020141	
G06Q30/02015	
G06Q30/02016	
G06Q30/02017	
G06Q30/02018	
G06Q30/0202	｛マーケット予測または需要予測｝
G06Q30/02022	
G06Q30/02023	
G06Q30/02024	
G06Q30/0203	｛マーケット調査｝
G06Q30/0204	｛マーケットのセグメント化｝
G06Q30/02043	
G06Q30/0205	｛位置または地理の考慮｝
G06Q30/0206	｛マーケットの要素に基づく価格またはコストの決定｝
G06Q30/0207	｛ディスカウントまたはインセンティブ，例．クーポン，リベート，オファーまたはセール｝
G06Q30/0208	｛インセンティブのための製品またはサービスの取引または交換｝
G06Q30/0209	｛ビデオゲームのプレイに関連して支払われるまたは償還されるインセンティブ｝
G06Q30/0211	｛ディスカウントまたはインセンティブの効果の決定｝
G06Q30/0212	｛ディスカウントまたはインセンティブの機会｝
G06Q30/0213	｛顧客の手数料｝
G06Q30/0214	｛紹介報奨システム｝
G06Q30/0215	｛金融口座を含むもの｝
G06Q30/0216	｛投資口座｝
G06Q30/0217	｛インセンティブまたは報酬の交換のための，製品またはサービスについての入力，または顧客の要望の記述に関するもの｝
G06Q30/0218	｛スコアに基づくもの｝
G06Q30/0219	｛資金または予算に基づくもの｝
G06Q30/0221	｛再利用可能なクーポン｝
G06Q30/0222	｛電子商取引に関するもの，すなわち，オンライン取引｝
G06Q30/0223	｛在庫に基づくもの｝
G06Q30/0224	｛ユーザー履歴に基づくもの｝
G06Q30/0225	｛不正の回避｝
G06Q30/0226	｛頻繁な使用に対するインセンティブシステム，例．マイレージプログラムまたはポイントシステム｝
G06Q30/0227	｛頻繁な使用に対する様々なシステム間におけるインセンティブ価値の調整｝
G06Q30/0228	｛オンライン決済機関｝
G06Q30/0229	｛多店舗ポイントカードシステム｝
G06Q30/0231	｛購入した製品またはサービスの金銭価値または旅行した距離とは独立した頻繁な使用に対するインセンティブの付与｝
G06Q30/0232	｛頻繁な使用に対する商品，現金または旅行以外の報酬｝
G06Q30/0233	｛頻繁な使用に対する報酬の引き換え方法｝
G06Q30/0234	｛購入完了後のリベート，すなわち，取引後の報酬｝
G06Q30/0235	｛タイミングを含む，すなわち，限定的な付与または使用時間の制約｝
G06Q30/0236	｛ユーザーからの登録またはＩＤを要求することにより受け取り可能なインセンティブまたは報酬｝
G06Q30/0237	｛キオスクにおけるもの｝
G06Q30/0238	｛ＰＯＳにおけるもの｝
G06Q30/0239	｛オンラインディスカウントまたはインセンティブ｝
G06Q30/0241	｛広告｝
G06Q30/0242	｛広告効果の決定｝
G06Q30/0243	｛広告の比較｝
G06Q30/0244	｛最適化｝
G06Q30/0245	｛調査｝
G06Q30/0246	｛取引｝
G06Q30/0247	｛過去，現在または将来の収益の計算｝
G06Q30/0248	｛不正の回避｝
G06Q30/0249	｛予算または資金に基づくもの｝
G06Q30/0251	｛ターゲットに特化した広告｝
G06Q30/0252	｛イベントまたは環境に基づくもの，例．天気または祭り｝
G06Q30/0253	｛電子商取引に関するもの，すなわち，オンライン取引｝
G06Q30/0254	｛統計に基づくもの｝
G06Q30/0255	｛ユーザー履歴に基づくもの｝
G06Q30/0256	｛ユーザーの検索｝
G06Q30/0257	｛ユーザーの要求｝
G06Q30/0258	｛登録｝
G06Q30/0259	｛店の位置に基づくもの｝
G06Q30/0261	｛ユーザーの位置に基づくもの｝
G06Q30/0262	｛コンピューターのスタンバイモード時｝
G06Q30/0263	｛インターネットまたはウェブサイトレーティングに基づくもの｝
G06Q30/0264	｛スケジュールに基づくもの｝
G06Q30/0265	｛車両広告｝
G06Q30/0266	｛車両の位置に基づくもの｝
G06Q30/0267	｛ワイヤレスデバイス｝
G06Q30/0268	｛ＰＯＳにおけるもの｝
G06Q30/0269	｛ユーザープロファイルまたは特性に基づくもの｝
G06Q30/0271	｛個人に特化した広告｝
G06Q30/0272	｛広告期間｝
G06Q30/0273	｛広告料金｝
G06Q30/0274	｛料金の分割｝
G06Q30/0275	｛オークション｝
G06Q30/0276	｛広告の作成｝
G06Q30/0277	｛オンライン広告｝
G06Q30/0278	｛価格査定｝
G06Q30/0279	｛資金調達の管理｝
G06Q30/0281	｛ビジネスの場における顧客とのコミュニケーション，例．製品またはサービスの情報の提供｝
G06Q30/0282	｛事業者または製品のレーティングまたは推薦｝
G06Q30/0283	｛価格の推定，決定｝
G06Q30/0284	｛時間または距離，例．パーキングメーターまたはタクシーメーターの使用｝
G06Q30/04	請求またはインボイス｛，例．販売に関連した税金処理｝
G06Q30/06	購買，販売またはリース取引
G06Q30/0601	｛電子ショッピング｝
G06Q30/0603	｛カタログ注文｝
G06Q30/06031	
G06Q30/06032	
G06Q30/0605	｛供給または需要の集約｝
G06Q30/0607	｛規制されたもの｝
G06Q30/0609	｛買い手または売り手の信頼または検証｝
G06Q30/0611	｛購買または見積の要求｝
G06Q30/0613	｛第三者の介在｝
G06Q30/0615	｛匿名化｝
G06Q30/0617	｛代理人｝
G06Q30/0619	｛中立の者｝
G06Q30/0621	｛商品の仕様設定またはカスタマイズ｝
G06Q30/06211	
G06Q30/06212	
G06Q30/0623	｛商品の調査｝
G06Q30/0624	
G06Q30/0625	｛特定の意図または戦略に基づくもの｝
G06Q30/0627	｛商品の仕様を用いるもの｝
G06Q30/0629	｛比較を行うもの｝
G06Q30/06291	
G06Q30/0631	｛商品の推薦｝
G06Q30/06311	
G06Q30/06312	
G06Q30/06313	
G06Q30/06314	
G06Q30/06315	
G06Q30/0633	｛リスト，例．購入注文，編集または処理｝
G06Q30/06331	
G06Q30/06332	
G06Q30/06333	
G06Q30/06334	
G06Q30/0635	｛購入注文の処理｝
G06Q30/0637	｛承認｝
G06Q30/0639	｛商品の位置｝
G06Q30/0641	｛ショッピングインターフェイス｝
G06Q30/0643	｛商品または買い物客のグラフィカル表示｝
G06Q30/06431	
G06Q30/06432	
G06Q30/06433	
G06Q30/06434	
G06Q30/06435	
G06Q30/0644	
G06Q30/06442	
G06Q30/06443	
G06Q30/06444	
G06Q30/0645	｛レンタル，すなわち，リース｝
G06Q30/08	オークション｛，マッチングまたは仲買（株取引のためのマッチングまたは仲買Ｇ０６Ｑ４０／０４）｝
G06Q40/00	金融；保険；税戦略；法人税または所得税の処理
G06Q40/02	銀行業務，例．利息計算，信用格付け，住宅ローン，ホームまたはオンライン・バンキング
G06Q40/022	
G06Q40/0221	
G06Q40/0222	
G06Q40/0223	
G06Q40/0225	
G06Q40/023	
G06Q40/024	
G06Q40/026	
G06Q40/028	
G06Q40/029	
G06Q40/03	
G06Q40/0305	
G06Q40/03055	
G06Q40/031	
G06Q40/032	
G06Q40/0325	
G06Q40/03251	
G06Q40/033	
G06Q40/034	
G06Q40/035	
G06Q40/036	
G06Q40/037	
G06Q40/038	
G06Q40/039	
G06Q40/04	取引所，例．株式，商品，デリバティブまたは外国為替
G06Q40/042	
G06Q40/0421	
G06Q40/043	
G06Q40/0431	
G06Q40/0432	
G06Q40/044	
G06Q40/045	
G06Q40/0451	
G06Q40/046	
G06Q40/047	
G06Q40/048	
G06Q40/049	
G06Q40/05	
G06Q40/051	
G06Q40/052	
G06Q40/0525	
G06Q40/053	
G06Q40/054	
G06Q40/0545	
G06Q40/055	
G06Q40/06	投資，例．金融商品，ポートフォリオ管理またはファンド管理
G06Q40/062	
G06Q40/063	
G06Q40/0631	
G06Q40/064	
G06Q40/065	
G06Q40/066	
G06Q40/067	
G06Q40/068	
G06Q40/08	保険，例．リスク分析または年金｛（保険ポリシーやクレームの処理Ｇ０６Ｑ１０／１０）｝
G06Q40/082	
G06Q40/0821	
G06Q40/0822	
G06Q40/08221	
G06Q40/08222	
G06Q40/08223	
G06Q40/083	
G06Q40/084	
G06Q40/0841	
G06Q40/0842	
G06Q40/085	
G06Q40/086	
G06Q40/0861	
G06Q40/087	
G06Q40/09	
G06Q40/10	｛税戦略｝
G06Q40/12	｛会計｝
G06Q40/123	｛納税準備または申請｝
G06Q40/124	
G06Q40/125	｛財務または給与計算｝
G06Q40/126	
G06Q40/128	｛小切手帳の収支記録，更新または印刷装置｝
G06Q50/00	特定の業種に特に適合したシステムまたは方法，例．公益事業または観光業
G06Q50/01	｛ソーシャルネットワーク｝
G06Q50/02	農業；漁業；鉱業
G06Q50/04	製造業
G06Q50/06	電気，ガスまたは水道供給
G06Q50/08	建設業
G06Q50/10	サービス業
G06Q50/12	ホテルまたはレストラン
G06Q50/14	旅行代理業
G06Q50/16	不動産業
G06Q50/163	｛不動産管理｝
G06Q50/165	｛土地開発｝
G06Q50/167	｛取引の完了｝
G06Q50/18	法律業；法律書類の扱い
G06Q50/182	｛裁判外紛争解決手続｝
G06Q50/184	｛知的財産管理｝
G06Q50/186	｛遺産計画｝
G06Q50/188	｛電子交渉｝
G06Q50/20	教育
G06Q50/205	｛教育管理またはガイダンス｝
G06Q50/2053	｛教育機関の選択，許可または財政支援｝
G06Q50/2057	｛キャリア促進または教育サービスの継続｝
G06Q50/22	ヘルスケア，例．病院；社会福祉事業
G06Q50/26	政府または公共事業
G06Q50/265	｛個人のセキュリティー，特定または安全｝
G06Q50/34	賭博またはブックメーキング，例．インターネット賭博
G06Q50/40	
G06Q50/43	
G06Q50/47	
G06Q50/50	
G06Q50/60	
G06Q90/00	格別なデータ処理を伴わない，管理目的，商用目的，金融目的，経営目的，監督目的又は予測目的に特に適合したデータ処理システムまたは方法
G06Q90/20	｛ビジネス構造物の中での目的地支援｝
G06Q90/205	｛建物疎開｝
G06Q99/00	このサブクラスの他のグループに分類されない主題事項
G06Q2220/00	暗号法を用いたビジネスの処理（暗号法を用いた郵便料計測システムＧ０６Ｑ２２５０／０５）
G06Q2220/10	分配されたデータファイルの使用保護
G06Q2220/12	使用または課金の決定
G06Q2220/123	支払いの収集または分配のための第三者を含むもの，例．手形交換所
G06Q2220/127	原産者以外からの権利または制限の複数層を追加するもの
G06Q2220/14	開くための追加的な付属物または入力，例．ドングル，を必要とするもの
G06Q2220/145	特定のコンピューターＩＤ，例.．シリアルナンバー，設計
G06Q2220/16	著作権保護
G06Q2220/165	出所またはプログラムＩＤを持つもの
G06Q2220/18	ライセンス
G06Q2230/00	投票または選挙
G06Q2240/00	輸送施設へのアクセス，例．料金または駐車
G06Q2250/00	郵送料計測システム
G06Q2250/05	暗号法を用いるもの
G06Q2250/053	リロードまたは再チャージ
G06Q2250/057	印刷の細部からなるもの，マークの立証
G06Q2250/10	特別なサービスまたは料金，例．ディスカウント，過重または調節
G06Q2250/20	再チャージ
G06Q2250/30	記録の保持
G06Q2250/40	データの保護
G06Q2250/50	特定のメール処理手段によるもの
G06Q2250/60	メールされた項目の重みを含むもの
G06Q2250/70	特定の印刷
G06Q2250/80	レートのアップデート
G06Q2250/90	特別の機能
G06Q2250/905	ディスプレイの制御
