F24S10/00	作動流体を用いる太陽熱集熱器
F24S25/30	実質的に取付け面に沿って延びている長尺剛性取付け要素を用いるもの，例．建物を太陽熱集熱器で被覆するためのもの（支持面から離れた方向に延びるものＦ２４Ｓ２５／１０；モジュール用周囲枠Ｆ２４Ｓ２５／２０）
F24S25/33	実質的に平面形状の組み立て体を形成するもの，例．同一平面上のまたは積み重ねられたプロファイル
F24S25/35	隣接するモジュールのために個別の支持部分を画定する断面形状を有するプロファイルの手段によるもの
F24S25/37	縦方向および横方向のプロファイルからなる一平面状グリッドを形成するもの
F24S25/40	板状の取付け要素，例．輪郭付けされたまたは波付けされた板，を用いるもの；板状のモジュール枠（支持面から離れる方向に延びるものＦ２４Ｓ２５／１０）
F24S25/50	長尺の非剛性要素，例．ストラップ，ワイヤーまたはロープ，を有するもの
F24S25/60	太陽熱集熱器モジュールの支持に特に適合する固定手段，例．ファスナー
F24S2025/6001	｛面ファスナーの使用によるもの｝
F24S2025/6002	｛ホックの使用によるもの｝
F24S2025/6003	｛締め付けによるもの｝
F24S2025/6004	｛クリップ留めによるもの，例．スナップ接続器によるもの｝
F24S2025/6005	｛ねじ接続によるもの｝
F24S2025/6006	｛ねじ要素，例．スタッドボルト，の使用によるもの｝
F24S2025/6007	｛形状に適合する接続器，例．溝形，の使用によるもの｝
F24S2025/6008	｛歯のある要素の使用によるもの｝
F24S2025/6009	｛材料の変形によるもの，例．圧着または加締めにおるもの｝
F24S2025/601	｛接着によるもの，例．接着剤の使用によるもの｝
F24S2025/6011	｛溶接またはろう接によるもの｝
F24S2025/6012	｛異なる材料の接合｝
F24S2025/6013	｛ガラスの非ガラス要素への接合｝
F24S25/61	地面または建物構造へ固定するためのもの
F24S25/613	曲がったストリップまたはストリップ組み立て体の形態であるもの；フック状のコネクタ；建物を被覆する要素の間に取り付けられるコネクタ
F24S25/615	建物の突起部に，例．波状部または立設継目部に，固定するためのもの
F24S25/617	地面に打ち込まれる要素，例．アンカー杭；支持要素のための基礎；支持構造を地面または平らな水平面に接続するためのコネクタ
F24S25/63	モジュールまたはその周縁フレームを支持要素に固定するためのもの
F24S25/632	サイドコネクタ；ベースコネクタ
F24S25/634	クランプ；クリップ
F24S25/636	ねじ山付き要素により締め付けるもの
F24S25/65	隣接する支持要素を連結するためのもの，例．プロファイルを接続するためのもの
F24S25/67	隣接するモジュールまたはその周縁フレームを連結するためのもの（モジュールまたは周縁フレームを支持要素に固定するためのものＦ２４Ｓ２５／６３）
F24S25/70	支持要素の互いのまたは取付け面への最終的な位置または方向を調整する手段を有するもの；取付けの許容誤差を補正する手段を有するもの
F24S2025/80	｛特別なプロファイル｝
F24S2025/801	｛閉じた断面の中空部品をもつもの｝
F24S2025/802	｛円形または長円形の断面をもつもの｝
F24S2025/803	｛中心ウェブをもつもの，例．Ｉ字形，逆Ｔ字形｝
F24S2025/804	｛Ｕ字形，Ｃ字形またはＯ字形；帽子状のプロファイル｝
F24S2025/805	｛波状のプロファイルの形状のもの｝
F24S2025/806	｛湾曲した部分をもつもの｝
F24S2025/807	｛アンダーカットの溝をもつもの｝
F24S30/00	太陽熱集熱器モジュールを動かすまたは方向付けするための装置<br><br><u>注</u><br><br>光電池モジュールにおいても使用されることが意図される構成はサブクラスＨ０２Ｓの適当なグループに更に分類されるべきである。<br><br><u>警告</u><br><br>グループＦ２４Ｓ３０／００はグループＦ２４Ｓ２０／７０およびＦ２４Ｓ３０／２０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２０／７０，Ｆ２４Ｓ３０／２０，Ｆ２４Ｓ３０／００はコンプリートサーチの完遂のために考慮されるべきである。
F24S2030/10	｛特別な構成部品｝
F24S2030/11	｛駆動手段｝
F24S2030/115	｛直動アクチュエータ，例．空気圧シリンダ｝
F24S2030/12	｛結合手段｝
F24S2030/13	｛変速機｝
F24S2030/131	｛関節接続された棒の形態であるもの｝
F24S2030/132	｛コンパス，はさみまたは平行四辺形の形態であるもの｝
F24S2030/133	｛可撓性要素，例．ベルト，鎖，ロープ，の形態であるもの｝
F24S2030/134	｛歯車伝動またはラックおよびピニオンの伝動機構の形態であるもの｝
F24S2030/135	｛ねじ要素の形態であるもの｝
F24S2030/136	｛共通の伝動要素により個々の太陽熱集熱器を移動するためのもの｝
F24S2030/137	｛一つのものの他のものからの取り出しのためのもの，例．方位移動から上昇移動を取り出すためのもの｝
F24S2030/14	｛移動案内装置｝
F24S2030/145	｛軌道｝
F24S2030/15	｛軸受｝
F24S2030/16	｛枢動要素；ピン接続器｝
F24S2030/17	｛球面継手｝
F24S2030/18	｛負荷平衡手段，例．カウンタウエイトの使用｝
F24S2030/19	｛移動を減衰する手段；制動手段｝
F24S30/20	直線動作用<br><br><u>警告</u><br><br>グループＦ２４Ｓ３０／２０はグループＦ２４Ｓ２０／７０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ３０／２０はまたグループＦ２４Ｓ３０／００への再分類の影響を受ける。<br>グループＦ２４Ｓ２０／７０，Ｆ２４Ｓ３０／２０，およびＦ２４Ｓ３０／００はコンプリートサーチの完遂のために考慮されるべきである。
F24S30/40	回転動作用<br><br><u>警告</u><br><br>グループＦ２４Ｓ３０／４０はグループＦ２４Ｓ２０／７０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２０／７０およびＦ２４Ｓ３０／４０はコンプリートサーチの完遂のために考慮されるべきである。
F24S30/42	回転軸を１つだけ有するもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ３０／４２はグループＦ２４Ｓ２０／７０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２０／７０およびＦ２４Ｓ３０／４２はコンプリートサーチの完遂のために考慮されるべきである。
F24S30/422	垂直軸<br><br><u>警告</u><br><br>グループＦ２４Ｓ３０／４２２はグループＦ２４Ｓ２０／７０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２０／７０およびＦ２４Ｓ３０／４２２はコンプリートサーチの完遂のために考慮されるべきである。
F24S30/425	水平軸<br><br><u>警告</u><br><br>グループＦ２４Ｓ３０／４２５はグループＦ２４Ｓ２０／７０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２０／７０およびＦ２４Ｓ３０／４２５はコンプリートサーチの完遂のために考慮されるべきである。
F24S30/428	傾斜軸を有するもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ３０／４２８はグループＦ２４Ｓ２０／７０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２０／７０およびＦ２４Ｓ３０／４２８はコンプリートサーチの完遂のために考慮されるべきである。
F24S30/45	２つの回転軸を有するもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ３０／４５はグループＦ２４Ｓ２０／７０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２０／７０およびＦ２４Ｓ３０／４５はコンプリートサーチの完遂のために考慮されるべきである。
F24S30/452	垂直の主軸<br><br><u>警告</u><br><br>グループＦ２４Ｓ３０／４５２はグループＦ２４Ｓ２０／７０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２０／７０およびＦ２４Ｓ３０／４５２はコンプリートサーチの完遂のために考慮されるべきである。
F24S30/455	水平の主軸<br><br><u>警告</u><br><br>グループＦ２４Ｓ３０／４５５はグループＦ２４Ｓ２０／７０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２０／７０およびＦ２４Ｓ３０／４５５はコンプリートサーチの完遂のために考慮されるべきである。
F24S30/458	傾斜した主軸を有するもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ３０／４５８はグループＦ２４Ｓ２０／７０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２０／７０およびＦ２４Ｓ３０／４５８はコンプリートサーチの完遂のために考慮されるべきである。
F24S30/48	３以上の回転軸を有するものまたは多自由度を有するもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ３０／４８はグループＦ２４Ｓ２０／７０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２０／７０およびＦ２４Ｓ３０／４８はコンプリートサーチの完遂のために考慮されるべきである。
F24S40/00	太陽熱集熱器の安全装置または保護装置；太陽熱集熱器の故障を防ぐもの（制御装置Ｆ２４Ｓ５０／００）<br><br><u>警告</u><br><br>グループＦ２４Ｓ４０／００はグループＦ２４Ｓ４０／９０への再分類の影響を受ける。<br>グループＦ２４Ｓ４０／００およびＦ２４Ｓ４０／９０はコンプリートサーチの完遂のために考慮されるべきである。
F24S40/10	保護カバーまたは保護包み；閉鎖部材，例．蓋（透明カバーＦ２４Ｓ８０／５０）
F24S40/20	清掃；雪の除去
F24S40/40	腐食防止；ちりまたは汚染からの保護
F24S40/42	太陽モジュール内での結露防止（通気によるものＦ２４Ｓ４０／５３）<br><br><u>警告</u><br><br>グループＦ２４Ｓ４０/４２はグループＦ２４Ｓ４０／５３への再分類の影響を受ける。<br>グループＦ２４Ｓ４０／４２およびＦ２４Ｓ４０／５３はコンプリートサーチの完遂のために考慮されるべきである。
F24S40/44	雨水または結露の排出
F24S40/46	真空を維持するもの，例．ゲッターを用いることによるもの
F24S40/48	作動流体の脱気またはガス抜き
F24S40/50	過熱または過圧を防止するもの（作動流体の排出によるものＦ２４Ｓ４０／６０）
F24S40/52	熱収集を調整することによるもの，例．焦点をずらすまたは受熱要素の位置を変更することによるもの
F24S40/53	太陽熱集熱器のエンクロージャに通気することによるもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ４０／５３はグループＦ２４Ｓ４０／４２からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ４０／４２およびＦ２４Ｓ４０／５３はコンプリートサーチの完遂のために考慮されるべきである。
F24S40/55	冷却，例．外部の熱放散手段または内部の冷却回路を用いることによる，のための装置（通気によるものＦ２４Ｓ４０／５３）
F24S40/57	太陽熱集熱器のエンクロージャの過圧防止（通気によるものＦ２４Ｓ４０／５３）
F24S40/58	作動流体回路の過圧防止
F24S40/60	作動流体の排出のための装置
F24S40/70	凍結防止（作動流体の排出装置Ｆ２４Ｓ４０／６０）
F24S40/80	太陽熱集熱器要素の膨張差を埋め合わせるもの
F24S40/85	｛悪天候から太陽熱集熱器を保護するための装置（Ｆ２４Ｓ４０／１０が優先）｝
F24S40/90	太陽熱集熱器の検査のための装置<br><br><u>警告</u><br><br>グループＦ２４Ｓ４０／９０はグループＦ２４Ｓ４０／００からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ４０／００および４０／９０はコンプリートサーチの完遂のために考慮されるべきである。
F24S50/00	太陽熱集熱器の制御のための装置
F24S50/20	トラッキングのためのもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ５０／２０はグループＦ２４Ｓ２０／３０およびＦ２４Ｓ２３／００からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ５０／２０およびＦ２４Ｓ５０／２０はコンプリートサーチの完遂のために考慮されるべきである。
F24S2050/25	｛較正手段；太陽熱集熱器または太陽熱受熱器の初期の位置決めのための方法｝
F24S50/40	温度に応答するもの
F24S50/60	風に応答するもの
F24S50/80	太陽放射の収集量または吸収量を制御するもの
F24S60/00	太陽熱集熱器により収集された熱を貯蔵する装置（プールまたは池を形成する作動流体に貯蔵するものＦ２４Ｓ１０／１０）<br><br><u>警告</u><br><br>グループＦ２４Ｓ６０／００はグループＦ２４Ｓ６０／１０およびＦ２４Ｓ６０／２０への再分類の影響を受ける。<br>グループＦ２４Ｓ６０／００，Ｆ２４Ｓ６０／１０，およびＦ２４Ｓ６０／２０はコンプリートサーチの完遂のために考慮されるべきである。
F24S60/10	潜熱を用いるもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ６０／１０はグループＦ２４Ｓ６０／００およびＦ２４Ｓ６０／３０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ６０／００，Ｆ２４Ｓ６０／３０，およびＦ２４Ｓ６０／１０はコンプリートサーチの完遂のために考慮されるべきである。
F24S60/20	化学反応，例．熱化学反応または異性化反応，を用いるもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ６０／２０はグループＦ２４Ｓ６０／００およびＦ２４Ｓ６０／３０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ６０／００，Ｆ２４Ｓ６０／３０，およびＦ２４Ｓ６０／２０はコンプリートサーチの完遂のために考慮されるべきである。
F24S60/30	熱を液体に貯蔵するもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ６０／３０はグループＦ２４Ｓ６０／１０およびＦ２４Ｓ６０／２０への再分類の影響を受ける。<br>グループＦ２４Ｓ６０／３０，Ｆ２４Ｓ６０／１０，およびＦ２４Ｓ６０／２０はコンプリートサーチの完遂のために考慮されるべきである。
F24S70/00	吸収要素の細部<br><br><u>警告</u><br><br>グループＦ２４Ｓ７０／００はグループＦ２４Ｓ８０／００からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ８０／００およびＦ２４Ｓ７０／００はコンプリートサーチの完遂のために考慮されるべきである。
F24S70/10	吸収材料に特徴を有するもの（吸収コーティングまたは吸収性を高めるための表面処理Ｆ２４Ｓ７０／２０）
F24S70/12	金属材料からなるもの
F24S70/14	プラスチック材料からなるもの
F24S70/16	セラミックからなるもの；コンクリートからなるもの；天然石からなるもの
F24S70/20	吸収コーティングに特徴を有するもの；吸収性を高めるための表面処理に特徴を有するもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ７０／２０はグループＦ２４Ｓ７０／２２５への再分類の影響を受ける。<br>グループＦ２４Ｓ７０／２０およびＦ２４Ｓ７０／２２５はコンプリートサーチの完遂のために考慮されるべきである。
F24S70/225	光波長選択吸収のためのもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ７０／２２５はグループＦ２４Ｓ７０／２０，Ｆ２４Ｓ７０／２５，およびＦ２４Ｓ７０／２７５からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
F24S70/25	金属材料からなるコーティング<br><br><u>警告</u><br><br>グループＦ２４Ｓ７０／２５はグループＦ２４Ｓ７０／２２５への再分類の影響を受ける。<br>グループＦ２４Ｓ７０／２５およびＦ２４Ｓ７／２２５はコンプリートサーチの完遂のために考慮されるべきである。
F24S70/275	プラスチック材料からなるコーティング<br><br><u>警告</u><br><br>グループＦ２４Ｓ７０／２７５はグループＦ２４Ｓ７０／２２５への再分類の影響を受ける。<br>グループＦ２４Ｓ７０／２７５およびＦ２４Ｓ７０／２２５はコンプリートサーチの完遂のために考慮されるべきである。
F24S70/30	補助的コーティング，例．反射防止コーティング
F24S70/60	構造または機構によって特徴付けられるもの（吸収性コーティング，または吸収性を高めるための表面処理Ｆ２４Ｓ７０／２０；補助的コーティングＦ２４Ｓ７０／３０）
F24S2070/62	｛熱トラップ｝<br><br><u>警告</u><br><br>グループＦ２４Ｓ２０７０／６２はグループＦ２４Ｓ２０２３／８８からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ２０２３／８８およびＦ２４Ｓ２０７０／６２はコンプリートサーチの完遂のために考慮されるべきである。
F24S70/65	２以上の吸収要素の組み合わせ
